luo,swahili
 Ma en ler mochiw kod telo mar loch nanga moritto gwengno ewi masirano,Hii ni ripoti iliyotolewa na uongozi wa mtaa huo
tanzania- jatend kweth mobalo kod sirikal mar piny tanzania tundu lisu omed mana chaa kaluwore kod ote moro mane owacho,Kiongozi wa upinzani nchini Tanzania Tundu Lissu ameshtumiwa vikali kutokana na matamshi yake ya hivi karibuni
jagoro emigawo mar thieth laktar mercy mwangagi olero ni kenya geto yudo chanjo mamoko mag corona konyo eneno ni jokenya mathoth obiro oyudo chanjo.,Katibu katika wizara ya afya Mercy Mwangagi amesema kuwa Kenya inatarajia chanjo zaidi dhidi ya virusi vya korona
Ne oloso embele kamiti mar thieth eod bura.,Alizungumza mbeleya kamati ya afya bungeni
olero ni tielo mokuongo dhi chopo e pachoka saa asaya chakore kawuono ewi chike kedo gi corona.,Amesema kuwa mzigo wa kwanza wa chanjo hiyo inaweza kufika humu nchini muda wowote kutokea sasa
Josiasa makelo tulo eyiero maadundo egwenge maok giwuoge okwedi.,Wanasiasa wanaoleta vurugu katika maeneo ambayo hawatoki wamekashifiwa.
jaod bura ma kikuyu migosi kimani ichungwa olero ni jood bura ekinde mabiro onego obi otam chopo eweche ngiyo yiero maadundo egwenge maok giwuoge.,Mbunge wa Kikuyu Kimanu Ichungwa amesema kuwa wanasiasa hawafai kuruhusiwa kusimamia uchaguzi katika maeneo ambayo hawatoki
ma ne en kaluwore ekinde yiero maadundo kaka ne onenore matungu gi kabuchai juma mokalo.,Hii ni kutokana na vurugu vilivyoshuhudwa Kabuchai na Matungu katika chaguzi ndogo zilizoshuhudiwa
korka kore jaod bura ma suna east migosi junet mohamed okuayo josiasa owere gi tulo mag siasa ka olero ni mano duoko kenya chien.,Kwa upande wake mbunge wa Suna Mashariki Junet Mohammed amesema kuwa wanasiasa wanafaa wawache vurugu kwa vile inarudisha Kenya nyuma
Negiloso eod fwambo moro pachoka otieno manyoro.,Walikuwa wakizungumza katika kituo kimoja cha habari humu nchini
migao doho ochaa kuom bedo kod chuny manguon ne jogoo maketho chike mapachoka,Mahakama imeshtumiwa kwa kuwa na moyo wa huruma kwawanaoharibu sheria za humu nchini
jatend migao mar weche arita kwe pachoka dr.fred matiangi wacho ni en gima mako dhok ni apisas mag arita kwe timo duto magi  nyalo eneno ni jogoo maketho chike omaki kaeto bang kosechopgi edoho to migaono chwe wegi thuolo eyor bond mag pes moko matin mokalo,Daktari Matiang`I amesema kuwa ni jambo la kusikitisha kuwa wizara yake inafanya juu chini kuwakamata wanasiasa wanaovunja sheria kisha korti inawawachilia tu kwa dhamana ya chini
ma ne en koloso eboma ma nairobi ekinde nyasi moro mane temo rango timbe ogogo koro medore pachoka moloyo sani makoro yiero medo sudo machiegni,Alisema haya katika hafla fulani jijini Nairobi ambayo inachunguza tabia kama hizo hasa uchaguzi mkuu wa 2022 unapokaribia
Od bura opuodho winjruok mar ohala ekind kenya gi piny ingereza.,Bunge limeidhinisha biashara baina ya Kenya na Uingereza
winjruok makamano dhi muonyo sh.billion 200 giduaro mar bero weche ohala epachoka tomoloyo sani ma ikedo gi tuo mar corona.,Makubaliano hayo ya kibiashara yatatumia bilioni mia mbili katika kuhakikisha kuwa uchumi unaimarika humu nchini wakati huu wa kipindi cha korona
Ogirimiti makamano mar ohala ne oket giko higa mokadho ekind kenya gi piny ingereza.,Makubaliano hayo yalitiwa saini mwaka uliopita
Jood bura olero ni ogirimiti makamano ber kendo biro konyo tingo malo dongruok epachoka.,Wabunge wamesema kuwa mkataba huo ni sawa na utaisadia sana taifa la Kenya
Migawo mar pur olero ni ok gikumo chienro mar golo bando epinje mag libamba.,Wizara ya kilimo imesema kuwa haijasimamisha mpango wa kuleta mahindi kutoka mataifa ya nje
migawono kata kamano olero ni girido mana chike mag omo bando epinje maoko kagilero ni mano biro konyo eneno ni bando ma ikelo ber,Wizara hiyo hata hivyo imesema kuwa wameweka sheria kali ili kuhakikisha kuwa mahindi yanayoletwa ni salama
jatend migawo mar pur migosi peter munya olero ni ondamo mar rido chike makamago otenore gi kwiri mar afflatoxin manyocha oyud e bando ma igolo epiny malibamba kaka tanzania kod uganda.,Waziri wa kilimo Peter Munya hata hivyo amesema kuwa hatua hiyo itasaidia kutoletwa kwa mahindi yaliyo na kemikali kama vile aflatoxin iliyopatikana kwenye mahindi kutoka Uganda na Tanzania
"higa mokadho, kenya ne okelo pachoka bando tonnes 44,740 kaowuok uganda kod tz mondo odin rot mantiere enok bando epachoka.",Mwaka jana Kenya ilileta mahindi tani elfu arubaini na nne mia saba arubaini elfu kutoka Uganda na Tanzania ili kusaidia kusuluhisha tatizo la mahindi humu nchini
to onge chudo mora mora magiseyudo kakoro odwani sirikal odi mapiyo one kaka degiyud chudo go ,Hakuna malipo waliyopata hadi sasa huku wakiitaka serikali iwalipe
Giyuago kata mana ondamo marabora magiwuotho mondo eka giyud chudo maket kod mago ,Pia wanalalamikia foleni ndefu wanazopanga ili kupata malipo hayo
kuom mano gikwayo sirikal oket kare lai mamoko mag dhi neno kaka dechulgi ekuonde man machiegni kodgi ,Wanaiomba serikaliiweze kuwatolea malipokatika maeneo yaliyokaribu nao
jagoro emigawo mar thieth laktar mercy mwangagi olero ni kenya geto yudo chanjo mamoko mag corona,Katibu katika wizara ya afya Mercy Mwangagi amesema kuwa Kenya inatarajia chanjo zaidi dhidi ya virusi vya korona
Ma dhi konyo e neno ni jokenya mathoth biro yudo chanjo.,Hii itasaidia kuona kuwa wakenya wengi wanapata chanjo dhidi ya korona
kumachielo onyiso jopiny olure gichike kedo gi corona kaluwore gi muoch mar 3 mar tuo mar corona.,Kwa upande mwingine amewasihi wananchi kufuata hatua za kujikinga dhidi ya korona kutokana na mkurupuko wa awamu ya tatu ya korona
kamishena e countyno migosi moses leila olero ni kaka piny owacho giseketo chienro mabiro neno ni jopuonjre duto madhi timo penj oyudo lwasi makare mar timo penj.,Kamishona katika kaunti hiyo Bwana Moses Leila amesema kuwa wameweka hatua zote kuhakikisha kuwa watahiniwa watapata mazingira salama ya kufanya mtihani huo
Ne oloso ekar romo ma kabunde ekinde chiwo ler eweche penjne jodito mag somo.,Alikuwa akizungumza katika maeneo ya Kabunde alipokuwa akiwahutubia wakuu katika sekta ya elimu
ojiwo jogo mabiro rito penj mondo obi olure gi chike duto mag penj ka jok maok taa penj ok biyie mondo odonj e kuonde timo penj.,Amewasihi wasimamizi wa mitihani kuhakikisha kuwa sheria zote zinafuatwa huku akisema wale ambao hawasimamii mitihani hawataruhusiwa maeneo hayo 
 Mane en jatend piny Somalia Odhiambo otho eod thieth moro eboma ma Nairobi.,Aliyekuwa rais wa Somalia Ali Mahdi amefariki katika kituo kimoja cha afya kijijini Nairobi
ali mahdi osebedo kayuare gi ranyisi mar tuo mar corona eod thieth moro eboma ma nairobi kaluwore gi od fwambo mar voice of america(voa).,"Kulingana na ripoti ya kituo cha Sauti Ya Marekani, rais Ahdi alikuwa na virusi vya korona"
neen jatend piny somali mar 4 bang kane oyiere e dwe mar 1 higa 1991.,Alikuwa rais wa nne wa Somalia baada ya kuchaguliwa mwezi wa kwanza mwaka wa 1991
omedo goyo debe ne jalup ker migosi ruto kojiwo jodak makono jobi owuog oko kendo ogoo kura ne jalup ker ekinde yierono,Ameendelea kumpigia debe naibu wa rais William Ruto akiwasihi wannchi wa huko kumuunga mkono Ruto
Magi koro timore mana sani  ma josiasa pachoka omedo kwa koyie to ochunge kampens,Hii inafanyika wakati ambapo wanasiasa wa humu nchini wameshauriwa kusitisha kampeni zao
kor kakore migosi ruto omedo mana dokne mago mathoth makoro sirikal osetimo egwenge mag budalangi kono egayo wach tak mar pii mosebedo kachando jopiny egwenge makono,William Ruto ameendelea kuisifu serikali kwa vita vya kujenga daraja huko Budalangi kama njia mojawapo ya kuwajali wananchi
komedo loso ekinde romono madhi nyime eskund pri ma port victoria owacho ni pod eno dhi nyime kod tiyo machiegni kod joriembo mag apiko ecountyno ma busia2,Akizungumza katika shule ya msingi ya Port Victoria Ruto amesema kuwa ataendelea kufanya kazi na waendeshaji bodaboda katika kaunti hiyo
mago ruto owacho ecounty ma busias seche ma jaod bura ma soy caleb kositany to omedo mana chayo makruok mar tich ekind ker uhuru kenyata kod ogai mar odm raila odinga ,Ruton alisema hayo akiwa Busia huku mbunge Caleb Kositany akiendelea kukashifu ukaribu wa Raila na Uhuru 
Owachoni handshake sani koro omedo  mana pogo oganda pachoka ,Amesema kuwa makubaliano baina ya Raila na Uhuru imewagawa zaidi wakenya
kositany mabende kinde mokalo ne en jalup jagoro maduong ochayo mokalo  ogai mar odm raila odinga kuom koso kwayo jokenya nguono kaluwore kod mago maricho mane obedo pachoka ekinde yiero ma 2017,Kositany ameendelea kumkashifu Raila kwa kukosa kuwaomba msamaha wananchi kutokana na uchaguzi wa 2017
Zac ochayo koda ka rochruok makoro dhi nyime e duond bura mar jubilee  ,Kositany pia amekashifu mvutano katika chama cha Jubilee
ebathe komachielo nowacho ni  weche mag siasa mathurka nyalo dhi lokore kendo ogai mar odm raila odinga  dhi tiyo kod jalup ker wiliam ruto ekinde yiero ma 2022,Amesema kuwa siasa za humu nchini zinaweza kubadilika na Raila Odinga kuungana na Wiliiam Ruto katika uchaguzi wa 2022
riwruok marango ngima dhanoo ebuo piny mangima who jowacho ni  nonro koro osechak tim ewi chanjo mar astra zeneca,W.H.O imesema kuwa utafiti umeanza kuhusu chanjo ya Astra Zeneca
chanjo no mar astra zeneca iwacho ni okelo chandruok ne moko kuom pinje ebuo piny mangima,Chanjo hiyo inasemekana imeleta matatizo kwa watu katika baadhi ya mataifa
kamiti mar who machiwo paro kendo puodho chanjo mag gengo ekinde pinje mag wagunda jowacho ni ber ma chanjono okelo ne pinjego ber moloyo rach mare kendo chiwo paro ni chenro mar chiwo chanjono nyalo dhi nyime,Kamiti ya W.H.O ambayo inachunguza na kupeana maoni kuhusu chanjo hiyo kwa mataifa ya nje imesema kuwa manufaa ya chanjo hiyo ni mengi kuliko hasara zake hivyo basi chanjo hiyo inafaa itumike
jolony eweche mag science ekind onogo jowacho ni chanjono ok nyal neko to ok oyangore gima ne okelo thoo margi,Wataalamu wa sayansi wanasema kuwa chanjo hiyo haiwezi kuua hata hivyo bado haijabainika kilichowaua
jakom kamitino ronald rono owacho ni riport mane ochiw kod od thieth onogo ma kabarnet ok oyango kadiponi jok mane rango nyithindogo eman okelo thoo margi,Mwenyekiti wa kamati hiyo Ronald Rono amesema kuwa ripoti ya hospitali ya Kabarnet haijabaini iwapo walezi wa watoto hao ndio waliowaua
motelo ne mano weche ne owuok ni jopuonjre mag kmtc mane oriko jonie tich eyor somo emane omedo liet mar ot  matin maikete nyithindo monyuola kandalo magi podi <incubator),Zaidi ya hayo inasemekana kuwa wanafunzi walio nyanjani wa KMTC ndio walipandisha joto katika eneo hilo ambalo watoto waliozaliwa kabla siku zao zifike walikuwa 
Wachore ni lietno kendo ne ochwe okelo thoo mar nyithindo ,Huenda kupandishwa kwa joto ndio iliwaua watoto hao
Ripot mar kamitino ok oyango kaen ediera kata ooyo,Ripoti ya kamati hiyo haijadhibitisha maelezo hayo
rono owacho ni nonro matut owinjore koro tim ewi wachno kolero ni kata jogweng makono josebedo ka mboro yuak ewi lai mag tich kaka itayo ekar tiegruok onogo,Rono amesema utafiti zaidi utaendelea huku akisema kuwa wananchi wa huko wamekuwa wakilalmika kuhusu kituo hicho cha matibabu
motelo ne mano od thieth onogo ne owuok oko kendo kwedo weche moko ni nyithindogo ne oriko irango machiegni kod jopuonjrego masomo weche mag thieth,Kituo hicho cha afya kimekanusha vikali ripoti kuwa watoto hao walikuwa wakifanyiwa ulinzi na madaktari  walio nyanjani
gavana mar county ma kakamega wycklif oparanya kaachiel kod nyawadgi ma bungoma wycklif wangamati otelo ne chenro mar chiwo chanjo ne jopiny ecounty ma bungoma kod kakamega kawuono ,Gavana wa Kakamega Oparanya na yule wa Bungoma Wangamati wameongoza shughuli ya kupeana chanjo katika kaunti zao
"koloso kawuono ekinde mane oyudo chanjono ekar od thieth ma bungoma referal , gavana wangamati owacho ni chanjono ber ","Akizungumza katika hospitali ya rufaa ya Bungoma alikokuwa akipokea chanjo, Wangamati amesema kuwa chanjo hiyo ni salama"
wangamati kendo ojiwo jochiw thieth jowuog oko kendo joyudi chanjono mar gengo tuono mar cov19,Wangamati pia amewasihi wahudumu wa afya kujitokeza na kupokea chanjo hiyo
kor kakore jatend migao mar weche thieth ei bungoma county dr antony olela owacho ni countyno ne oyudo kwand doses maromo 6000 etielo mokuongo ka tielo mar 2 idhi tim ethuolo mar dweche machuok mabiro,Kwa upande wake waziri wa afya katika kaunti ya Bungoma Olela amesema kuwa kaunti hiyo ilipokea chanjo elfu sita katika awamu ya kwanza huku awamu ya pili ikisubiriwa katika kipindi kifupi 
ecounty ma kakamega chenro ne ochakore makare ka gavana mar county emane okuong chanji ka olero ni okang onogo ne okawo kaka yor golo oko luoro kuom jopiny ewi chanjono,"Katika kaunti ya Kakamega mambo yalianza shwari huku gavana wa Kakamega akioikea chanjo hiyo wa kwanza, Oparanya alisema alichukua hatua hiyo kutoa woga kwa wakaazi wa huko"
joriembo mag apiko  mahewo 100 eboma ma karatina jonego kanyo kanyo achije moko 2 magiwacho ni yande onego ji 6 magin joriembo mag apiko ecountino ekinde ma okalo,Waendeshaji bodaboda kule Karatina wamewaua washukiwa wawili wakisema kuwa watu hao waliwaua waendeshaji pikipiki sita katika kipindi kifupi kilichopita
riport mawuok karatina kono wacho ni joriemb apikogo nejodhi mogolo ji 3 eod thieth ma karatina kendo nego 2 kuomgi ka achiel ne oyombo kod hinyruoge maricho mokalo,Ripoti kutoka Karatina inasema kuwa waendeshaji bodaboda hao waliwatoa washukiwa hao watatu hospitalini na kuwapiga wawili hadi kufa huku mmoja akiponyoka na majeraha makali 
joriembo ogogo ne ohewo kod teko apisas mag obila kaachiel kod jorit od thieth onogo mane oriko chiwo arita kwe neji 3go mane ores elwet jopiny ,Waendeshaji bodaboda hao waliwazidi nguvu maafisa wa polisi waliokuwa wakiwalinda wagonjwa hao pamoja na mlinzi wa hospitali hiyo
apisas noresogi kane oriko itudogi kod keth mar nego joriemb apiko ecounty ma ninyalo paro ni magi koro timore ka ekor dwe  mar 9 higa mokadho 2020 ,Maafisa wa polisi waliwaokoa washukiwa hao mwezi wa tisa mwaka wa 2020 mbele ya wananchi waliokuwa na ghadhabu baada ya kushukiwa kuwaua waendeshaji bodaboda
joriembo moko mag apiko ecounty ma kirinyaga ne odhi ma ogolo oko achiel kuom jotuo mane itudo kod keth mag kuo  ,Waendeshaji pikipiki katika kaunti ya Kirinyaga walimtoa mshukiwa mmoja hospitalini alikokuwa akitibiwa
joriembo go nokawe kane owuok eod thieth matin ma kerugoya mane gichwe ginego kanyo kanyo,Waendeshaji hao walimtoa katika hospitali fulani mjini Kerugoya na kumuua papo hapo
jopiny mawuok e county ma migori kod kenya mangima kwa mond otii kod kuonde tiegruok ma igero kod tend piny owacho kod riwruoge eyor nenoni giyudo konyruok ekinde mabiro.,Wakaazi wa Migori na Kenya kwa jumla wameshauriwa kutumia vituo vya kupokea mafunzo yanayojengwa na serikali ipasavyo
ler makama neochiw kod director mar kambi mar jo kenya pipeline maneloso e sikund primar ma komondi e rongo subcounty ,Ripoti hii ilipeanwa na mkurugenzi mkuu wa Kenya Pipeline akizungumza katika shule ya msingi ya Komondi katika kaunti ndogo ya Rongo
owachoni kuonde tiegruok makamago ok onego dhii nono kendo ogoyo erokamano ne sikundno kuom tiyo kod omenda eyomakare echwalo godo dongruoge.,Amesema kuwa vituo hivyo vya kiufundi havifai kukaa bure huku akiishukuru shule hiyo kwa kutumia fedha vizuri katika ujenzi
omedokwayo tend county ma migori mondo otii machiegni kod jokanyo e tieko chandruoge magisebedo kagikadhee ka gin koda geno ni jopuonjre birotimo maber epenj mabiro.,Ameiomba uongozi wa kaunti ya Migori kufanya kazi na wakaazi wa huko kusuluhisha changamoto zao huku akisema watahiniwa watafanya vyema katika mtihani wao
"kambino neochwalo dongruoge kaka gedo mar apisi, kar somo manyasani mar computer, tanks mag pii 2 maromo lita 10,000 kod mamoko maduto omuonyo omenda maromo sh. 5 million. ","Kambi hiyo ilipeleka maendeleo kama vile ujenzi wa ofisi, ujenzi wa maabara ya kisasa ya tarakilishi, tangi mbili zenye lita elfu kumi pamoja na mengine ambayo iligharimu milioni tano"
Nyasi makamano neoyuore kod jodito maopogore opogore mawuok e kaunti ma migori.,Sherehe hiyo ilihudhuriwa na wakuu katika kaunti ya Migori
 jodito go ne en kama otingo jagoro mar countino migosi christopher rusana kod meneja mar od bura ma rongo migosi ochenge oyieko maneichung eloo jaod bura ma rongo migosi paul abuor.,Wakuu hao walikuwa pamoja na katibu wa kaunti hiyo Christopher Rusana pamoja na meneja wa eneo hilo la Rongo Ochieng` ambaye alisimama kwa niaba ya mbunge Paul Abuor
kisumu- achije 2 mane omaki kod keth mar yande ketho  dag stima eskund primar ma kadiju ei kisumu east sub county aochopi kawuono edoho ma winam kisumu,Washukiwa wawili waliokamatwa Kisumu Mashariki na kosa la kuharibu transfoma katika shule ya msingi ya Kadiju wamefikishwa mahakamani
ji ariyogo nahason  kod josiah  osebedo ka olornegi estesend obila ma kondele ,Washukiwa hao Nahashon Oiko na Josiah Otieno wamekuwa wakizuiliwa katika kituo cha polisi cha Kondele
"bang kane omakgi kod keth mar yande ketho dag stima onogo manengo mare romo 392,000 ",Hii ni baada ya kukamtwa na kosa la kuharibu transfoma lenye thamani ya mia tatu tisini na mbili elfu
ma en keth mayande gitimo eskund pri ma kadiju  etarik 6/12/2020,Hili ni wizi walilotekeleza katika shule ya Kadiju tarehe sita mwezi wa kumi na mbili mwaka wa elfu mbili ishirini na mbili
"bende ne odonjnegi kod keth machielo mar yande ketho dag stima mamoko ei gwenge mag anyuru sub location kod kobura sub loction enengo mar sh 400,00kod 200,000 moro  ka moro ",Walishtakiwa pia kwa kosa lakuharibu transfoma katika eneo la Anyuru na Kobura yenye thamani ya elfu mia nne na elfu mia mbili mtawalia
agidagi yie kod kethgo duto ka doho ochiko mondo wegi thuolo eyor bond mar sh 2m kata omenda maching maromo 1m moro ka moro ,Walikanusha mashtaka hayo huku korti ikisema waachiliwe kwa dhamana ya shilingi milioni mbili kila mmoja au pesa taslimu milioni moja
"ka burano ibiro dog dhi tuom, etarik 30 mar ma dweni kaeto nowinje  etarik 15 dwe mar 6 higani11",Kesi hiyo itasomwa tena tarehe thelathini mwezi huu huku ikisikilizwa tarehe kumi na tano mwezi wa sita mwaka huu
akwede oyangi kaka achiel kuom obadho maduong mapod okwako lwenj kedo kod iye ma omondo remo ka kinde magi podi ei kisumu,Vita dhidi ya mimba za mapema mjini Kisumu bado imekumbwa na changamoto si haba
gladyz akinyi owacho ni koponi chalno ok oloki to wach kedo kod midhierono kakidek biro medo kawo kinde malach mokalo,Gladys Akinyi amesema kuwa iwapo mikakati kabambe haitawekwa bado vita dhidi ya mimba za mapema haitazaa matunda
